Gene ID	Human associated gene name	Human gene stable ID
ENSMUSG00000094039	SNORD116-1	ENSG00000207063
ENSMUSG00000094039	SNORD116-8	ENSG00000207093
ENSMUSG00000094039	SNORD116-7	ENSG00000207133
ENSMUSG00000094039	SNORD116-3	ENSG00000207014
ENSMUSG00000094039	SNORD116-2	ENSG00000207001
ENSMUSG00000094039	SNORD116-9	ENSG00000206727
ENSMUSG00000094039	SNORD116-5	ENSG00000207191
ENSMUSG00000094039	SNORD116-6	ENSG00000207442
ENSMUSG00000094039	SNORD116-4	ENSG00000275529
ENSMUSG00000084559		
ENSMUSG00000071713	CSF2RB	ENSG00000100368
ENSMUSG00000104734		
ENSMUSG00000070101		
ENSMUSG00000084622	RN7SKP166	ENSG00000222744
ENSMUSG00000033122	HSD17B3	ENSG00000130948
ENSMUSG00000058550	DPPA4	ENSG00000121570
ENSMUSG00000093251		
ENSMUSG00000094959		
ENSMUSG00000106578		
ENSMUSG00000075600	ZC3H3	ENSG00000014164
ENSMUSG00000093071		
ENSMUSG00000022312	EIF3H	ENSG00000147677
ENSMUSG00000077619		
ENSMUSG00000094522		
ENSMUSG00000093006		
ENSMUSG00000105025	U3	ENSG00000201329
ENSMUSG00000105025	U3	ENSG00000200222
ENSMUSG00000052713	ZNF608	ENSG00000168916
ENSMUSG00000089034	ACA64	ENSG00000252119
ENSMUSG00000065036		
ENSMUSG00000065420		
ENSMUSG00000093508		
ENSMUSG00000093368		
ENSMUSG00000065447		
ENSMUSG00000036167	PPHLN1	ENSG00000134283
ENSMUSG00000089274	RNU1-33P	ENSG00000201119
ENSMUSG00000096814		
ENSMUSG00000095541		
ENSMUSG00000087841	RNU6-58P	ENSG00000252952
ENSMUSG00000074800		
ENSMUSG00000099091		
ENSMUSG00000044147	ARF6	ENSG00000165527
ENSMUSG00000035078	MTMR9	ENSG00000104643
ENSMUSG00000020590	SNX13	ENSG00000071189
ENSMUSG00000087823	RNU6-1227P	ENSG00000206708
ENSMUSG00000064829	SNORD36B	ENSG00000200831
ENSMUSG00000095350	RNA5S1	ENSG00000199352
ENSMUSG00000058298	MCM9	ENSG00000111877
ENSMUSG00000064591		
ENSMUSG00000089445		
ENSMUSG00000093203		
ENSMUSG00000098721		
ENSMUSG00000061126	CYP4F22	ENSG00000171954
ENSMUSG00000091039		
ENSMUSG00000076141		
ENSMUSG00000024922	OVOL1	ENSG00000172818
ENSMUSG00000076445		
ENSMUSG00000089438		
ENSMUSG00000104757		
ENSMUSG00000024084	QPCT	ENSG00000115828
ENSMUSG00000092009		
ENSMUSG00000077617		
ENSMUSG00000046201	SCAF8	ENSG00000213079
ENSMUSG00000098946	WT1-AS_6	ENSG00000276530
ENSMUSG00000098381		
ENSMUSG00000056399		
ENSMUSG00000064493	SNORA28	ENSG00000272533
ENSMUSG00000071073	LRRC73	ENSG00000204052
ENSMUSG00000064675		
ENSMUSG00000024683	MRPL16	ENSG00000166902
ENSMUSG00000087760		
ENSMUSG00000021070	BDKRB2	ENSG00000168398
ENSMUSG00000098613		
ENSMUSG00000023945	SLC5A7	ENSG00000115665
ENSMUSG00000043501	LGALS2	ENSG00000100079
ENSMUSG00000093358		
ENSMUSG00000098787		
ENSMUSG00000096866		
ENSMUSG00000065158		
ENSMUSG00000065648		
ENSMUSG00000044408	SPTSSA	ENSG00000165389
ENSMUSG00000095131	RNA5S12	ENSG00000199270
ENSMUSG00000106597		
ENSMUSG00000064052		
ENSMUSG00000098917		
ENSMUSG00000024530	PRELID3A	ENSG00000141391
ENSMUSG00000024815	TPD52L3	ENSG00000170777
ENSMUSG00000088425		
ENSMUSG00000093160		
ENSMUSG00000095284		
ENSMUSG00000078430		
ENSMUSG00000084548	RNA5SP448	ENSG00000200021
ENSMUSG00000091312		
ENSMUSG00000035711	DOK3	ENSG00000146094
ENSMUSG00000065518		
ENSMUSG00000006736	TSPAN31	ENSG00000135452
ENSMUSG00000076287		
ENSMUSG00000088459		
ENSMUSG00000059408		
ENSMUSG00000064452	SNORD113-3	ENSG00000201700
ENSMUSG00000034435	TMEM30B	ENSG00000182107
ENSMUSG00000093009	SNORD52	ENSG00000201754
ENSMUSG00000063011	MSLN	ENSG00000102854
ENSMUSG00000096199	PTRHD1	ENSG00000184924
ENSMUSG00000044250	PCED1B	ENSG00000179715
ENSMUSG00000098886		
ENSMUSG00000025019		
ENSMUSG00000094372		
ENSMUSG00000095972		
ENSMUSG00000025047	PDCD11	ENSG00000148843
ENSMUSG00000099324		
ENSMUSG00000045763	BASP1	ENSG00000176788
ENSMUSG00000098943	ACEA_U3	ENSG00000280959
ENSMUSG00000092827		
ENSMUSG00000079414		
ENSMUSG00000022546	GPT	ENSG00000167701
ENSMUSG00000023018	SMARCD1	ENSG00000066117
ENSMUSG00000093983		
ENSMUSG00000087957	RNA5SP35	ENSG00000212559
ENSMUSG00000071295		
ENSMUSG00000093995		
ENSMUSG00000079007	TCL1B	ENSG00000213231
ENSMUSG00000094969		
ENSMUSG00000004187	KIFC2	ENSG00000167702
ENSMUSG00000077050		
ENSMUSG00000037361	SF3B6	ENSG00000115128
ENSMUSG00000021112	MPP5	ENSG00000072415
ENSMUSG00000065277	RNU6-1305P	ENSG00000201223
ENSMUSG00000091297		
ENSMUSG00000065126	SNORD104	ENSG00000199753
ENSMUSG00000077190	SNORA17	ENSG00000212589
ENSMUSG00000077190	SNORA17	ENSG00000212461
ENSMUSG00000077190	SNORA17	ENSG00000281808
ENSMUSG00000098484	HOTTIP_1	ENSG00000276609
ENSMUSG00000024525	IMPA2	ENSG00000141401
ENSMUSG00000095818		
ENSMUSG00000093660	RNU1-34P	ENSG00000201291
ENSMUSG00000077981		
ENSMUSG00000025209	TWNK	ENSG00000107815
ENSMUSG00000096744	ALYREF	ENSG00000183684
ENSMUSG00000099191		
ENSMUSG00000099001	DLG2-AS1_1	ENSG00000274006
ENSMUSG00000033644	PIWIL2	ENSG00000197181
ENSMUSG00000021876	RNASE4	ENSG00000258818
ENSMUSG00000064836	SNORA67	ENSG00000252473
ENSMUSG00000095701		
ENSMUSG00000056073	GRIK2	ENSG00000164418
ENSMUSG00000021278	AMN	ENSG00000166126
ENSMUSG00000099330		
ENSMUSG00000106183		
ENSMUSG00000043190	RFESD	ENSG00000175449
ENSMUSG00000099284		
ENSMUSG00000021982	CDADC1	ENSG00000102543
ENSMUSG00000096565		
ENSMUSG00000094103	FAM177A1	ENSG00000151327
ENSMUSG00000065651		
ENSMUSG00000090592		
ENSMUSG00000078008		
ENSMUSG00000038594	CEP85L	ENSG00000111860
ENSMUSG00000076338		
ENSMUSG00000095786		
ENSMUSG00000039878	SLC39A5	ENSG00000139540
ENSMUSG00000062054	IAH1	ENSG00000134330
ENSMUSG00000074635		
ENSMUSG00000093075		
ENSMUSG00000062582		
ENSMUSG00000059669	TAF1B	ENSG00000115750
ENSMUSG00000010663	FADS1	ENSG00000149485
ENSMUSG00000088565		
ENSMUSG00000095834		
ENSMUSG00000050891	TATDN1	ENSG00000147687
ENSMUSG00000033762	RECQL4	ENSG00000160957
ENSMUSG00000094507		
ENSMUSG00000088485	RNU6-176P	ENSG00000253005
ENSMUSG00000067331		
ENSMUSG00000061619	VMA21	ENSG00000160131
ENSMUSG00000084683	RN7SKP91	ENSG00000222784
ENSMUSG00000084683	RN7SKP262	ENSG00000222950
ENSMUSG00000084683	RN7SKP59	ENSG00000222452
ENSMUSG00000084683	RN7SKP264	ENSG00000223012
ENSMUSG00000084683	RN7SKP7	ENSG00000222472
ENSMUSG00000084683	RN7SKP77	ENSG00000200131
ENSMUSG00000084683	RN7SKP58	ENSG00000222942
ENSMUSG00000078429	CTDSP2	ENSG00000175215
ENSMUSG00000094384		
ENSMUSG00000090551		
ENSMUSG00000065623		
ENSMUSG00000095104		
ENSMUSG00000010376	NEDD8	ENSG00000129559
ENSMUSG00000096811		
ENSMUSG00000087798		
ENSMUSG00000088398		
ENSMUSG00000091775	HMGN2	ENSG00000198830
ENSMUSG00000091775	HMGN4	ENSG00000182952
ENSMUSG00000095915		
ENSMUSG00000084640		
ENSMUSG00000045136	TUBB2B	ENSG00000137285
ENSMUSG00000022013	DNAJC15	ENSG00000120675
ENSMUSG00000065404		
ENSMUSG00000076335		
ENSMUSG00000095476		
ENSMUSG00000070511		
ENSMUSG00000098361		
ENSMUSG00000095998		
ENSMUSG00000065700		
ENSMUSG00000078377		
ENSMUSG00000024036	SLC37A1	ENSG00000160190
ENSMUSG00000089510	RNU6-1283P	ENSG00000202184
ENSMUSG00000093344		
ENSMUSG00000065737	RNU6-48P	ENSG00000206888
ENSMUSG00000065737	RNU6-27P	ENSG00000251955
ENSMUSG00000034509	MAD2L1BP	ENSG00000124688
ENSMUSG00000105790		
ENSMUSG00000079039		
ENSMUSG00000092686		
ENSMUSG00000037202	PRF1	ENSG00000180644
ENSMUSG00000070227		
ENSMUSG00000072571	TMEM253	ENSG00000232070
ENSMUSG00000080590		
ENSMUSG00000065881		
ENSMUSG00000021367	EDN1	ENSG00000078401
ENSMUSG00000021253	TGFB3	ENSG00000119699
ENSMUSG00000106221		
ENSMUSG00000077161		
ENSMUSG00000099140		
ENSMUSG00000092130		
ENSMUSG00000087819		
ENSMUSG00000096296	SNORD88A	ENSG00000221241
ENSMUSG00000093079		
ENSMUSG00000020064	HERC4	ENSG00000148634
ENSMUSG00000047168		
ENSMUSG00000043498		
ENSMUSG00000092764		
ENSMUSG00000075864	RNU6-637P	ENSG00000206777
ENSMUSG00000075864	RNU6-378P	ENSG00000207052
ENSMUSG00000088098	SNORA17	ENSG00000212589
ENSMUSG00000088098	SNORA17	ENSG00000212461
ENSMUSG00000088098	SNORA17	ENSG00000281808
ENSMUSG00000090881	PHF11	ENSG00000136147
ENSMUSG00000023953	POLH	ENSG00000170734
ENSMUSG00000057605		
ENSMUSG00000094308		
ENSMUSG00000088465		
ENSMUSG00000077642		
ENSMUSG00000024896	MINPP1	ENSG00000107789
ENSMUSG00000095474	CLDN34	ENSG00000234469
ENSMUSG00000022382	WNT7B	ENSG00000188064
ENSMUSG00000105477		
ENSMUSG00000104996		
ENSMUSG00000071040		
ENSMUSG00000088440		
ENSMUSG00000088435		
ENSMUSG00000076246		
ENSMUSG00000035129		
ENSMUSG00000098473		
ENSMUSG00000065794		
ENSMUSG00000087766	RNU6-168P	ENSG00000251998
ENSMUSG00000075553		
ENSMUSG00000045211	NUDT18	ENSG00000275074
ENSMUSG00000091731		
ENSMUSG00000084560		
ENSMUSG00000078117		
ENSMUSG00000092812		
ENSMUSG00000104797		
ENSMUSG00000089078	RNU6-703P	ENSG00000252755
ENSMUSG00000094523		
ENSMUSG00000006464	BBS1	ENSG00000174483
ENSMUSG00000006464	CTD-3074O7.11	ENSG00000256349
ENSMUSG00000096812		
ENSMUSG00000035678	TNFSF9	ENSG00000125657
ENSMUSG00000090666		
ENSMUSG00000092765		
ENSMUSG00000105799		
ENSMUSG00000089066	RNU7-155P	ENSG00000238759
ENSMUSG00000054150	SYNE3	ENSG00000176438
ENSMUSG00000022476	POLR3H	ENSG00000100413
ENSMUSG00000044937		
ENSMUSG00000089405		
ENSMUSG00000071280		
ENSMUSG00000087908	SNORA17	ENSG00000212589
ENSMUSG00000087908	SNORA17	ENSG00000212461
ENSMUSG00000087908	SNORA17	ENSG00000281808
ENSMUSG00000092816		
ENSMUSG00000045912	C2CD4C	ENSG00000183186
ENSMUSG00000054863	FAM19A5	ENSG00000219438
ENSMUSG00000089206		
ENSMUSG00000065079	RNU1-123P	ENSG00000239194
ENSMUSG00000037525	BCDIN3D	ENSG00000186666
ENSMUSG00000009681	BCR	ENSG00000186716
ENSMUSG00000074029		
ENSMUSG00000093852		
ENSMUSG00000052469		
ENSMUSG00000065803	RNU1-91P	ENSG00000201616
ENSMUSG00000065582		
ENSMUSG00000096245		
ENSMUSG00000090497		
ENSMUSG00000050350	GPR18	ENSG00000125245
ENSMUSG00000096849	RNU6-333P	ENSG00000238669
ENSMUSG00000020219	TIMM13	ENSG00000099800
ENSMUSG00000037003	TNS2	ENSG00000111077
ENSMUSG00000098887		
ENSMUSG00000095111	SNORA32	ENSG00000206776
ENSMUSG00000095111	SNORA32	ENSG00000206799
ENSMUSG00000089146		
ENSMUSG00000098280		
ENSMUSG00000088343	RNU7-155P	ENSG00000238759
ENSMUSG00000064468	RNU6-732P	ENSG00000251842
ENSMUSG00000089346	RNU6-236P	ENSG00000200756
ENSMUSG00000089346	RNU6-103P	ENSG00000200556
ENSMUSG00000089346	RNU6-178P	ENSG00000207361
ENSMUSG00000089346	RNU6-1241P	ENSG00000207266
ENSMUSG00000089346	RNU6-633P	ENSG00000199482
ENSMUSG00000096748		
ENSMUSG00000024870	RAB1B	ENSG00000174903
ENSMUSG00000096005	RNU6-841P	ENSG00000206599
ENSMUSG00000084477		
ENSMUSG00000065185		
ENSMUSG00000035963	ODF3L2	ENSG00000181781
ENSMUSG00000068015	LRCH1	ENSG00000136141
ENSMUSG00000004939	NMRK2	ENSG00000077009
ENSMUSG00000070074		
ENSMUSG00000084649		
ENSMUSG00000092675		
ENSMUSG00000087923		
ENSMUSG00000099126	FTX_5	ENSG00000277922
ENSMUSG00000088737	RNA5SP406	ENSG00000251915
ENSMUSG00000017756	SLC12A7	ENSG00000113504
ENSMUSG00000037149	DDX1	ENSG00000079785
ENSMUSG00000089203		
ENSMUSG00000088649		
ENSMUSG00000084428		
ENSMUSG00000022996	WNT10B	ENSG00000169884
ENSMUSG00000105411		
ENSMUSG00000089487	RNU1-54P	ENSG00000252990
ENSMUSG00000093061		
ENSMUSG00000098441		
ENSMUSG00000060166	ZDHHC8	ENSG00000099904
ENSMUSG00000053465	HS6ST3	ENSG00000185352
ENSMUSG00000066637	TTC32	ENSG00000183891
ENSMUSG00000092918		
ENSMUSG00000093139		
ENSMUSG00000088191		
ENSMUSG00000098662	RMST_5	ENSG00000273570
ENSMUSG00000096200	RNU6-949P	ENSG00000206767
ENSMUSG00000024911	FIBP	ENSG00000172500
ENSMUSG00000020638	CMPK2	ENSG00000134326
ENSMUSG00000065254		
ENSMUSG00000084650		
ENSMUSG00000096799		
ENSMUSG00000065758		
ENSMUSG00000098986	NEAT1_1	ENSG00000278144
ENSMUSG00000095146		
ENSMUSG00000065593		
ENSMUSG00000089024		
ENSMUSG00000092999	Y_RNA	ENSG00000201547
ENSMUSG00000065297		
ENSMUSG00000088789	SCARNA13	ENSG00000252481
ENSMUSG00000098948	TUG1_1	ENSG00000276664
ENSMUSG00000089408		
ENSMUSG00000094593		
ENSMUSG00000043091		
ENSMUSG00000065450		
ENSMUSG00000099103		
ENSMUSG00000089406		
ENSMUSG00000064672	SNORA2B	ENSG00000207313
ENSMUSG00000088747	RN7SKP110	ENSG00000222078
ENSMUSG00000077622		
ENSMUSG00000089418	Y_RNA	ENSG00000201547
ENSMUSG00000022987	ZNF641	ENSG00000167528
ENSMUSG00000070106		
ENSMUSG00000043061	TMEM18	ENSG00000151353
ENSMUSG00000099095		
ENSMUSG00000077418		
ENSMUSG00000077488		
ENSMUSG00000020576	NBAS	ENSG00000151779
ENSMUSG00000092978		
ENSMUSG00000022095	FAM160B2	ENSG00000158863
ENSMUSG00000095842		
ENSMUSG00000088318	RNU6-1069P	ENSG00000252421
ENSMUSG00000088318	RNU6-234P	ENSG00000202099
ENSMUSG00000088318	RNU6-416P	ENSG00000252074
ENSMUSG00000088318	RNU6-1306P	ENSG00000202089
ENSMUSG00000088318	RNU6-56P	ENSG00000252795
ENSMUSG00000088318	RNU6-578P	ENSG00000212282
ENSMUSG00000088495		
ENSMUSG00000092840		
ENSMUSG00000105496		
ENSMUSG00000098890		
ENSMUSG00000087985		
ENSMUSG00000019948	ACTR6	ENSG00000075089
ENSMUSG00000088522		
ENSMUSG00000095539		
ENSMUSG00000084484		
ENSMUSG00000088852		
ENSMUSG00000089130		
ENSMUSG00000077485	SNORA17	ENSG00000212589
ENSMUSG00000077485	SNORA17	ENSG00000212461
ENSMUSG00000077485	SNORA17	ENSG00000281808
ENSMUSG00000054452	AES	ENSG00000104964
ENSMUSG00000006378	GCAT	ENSG00000100116
ENSMUSG00000088498	RNU2-37P	ENSG00000222627
ENSMUSG00000088498	RNU2-56P	ENSG00000252635
ENSMUSG00000088498	RNU2-49P	ENSG00000222598
ENSMUSG00000088498	RNU2-48P	ENSG00000222626
ENSMUSG00000088498	RNU2-14P	ENSG00000222985
ENSMUSG00000088498	RNU2-52P	ENSG00000222612
ENSMUSG00000065698	SNORA41	ENSG00000207516
ENSMUSG00000047497	ADAMTS12	ENSG00000151388
ENSMUSG00000087793	SNORA38	ENSG00000201042
ENSMUSG00000093495		
ENSMUSG00000094979	RNU6-921P	ENSG00000207089
ENSMUSG00000065418		
ENSMUSG00000084575	RNU6-1316P	ENSG00000206969
ENSMUSG00000089177		
ENSMUSG00000095091		
ENSMUSG00000099264		
ENSMUSG00000045019	ACER1	ENSG00000167769
ENSMUSG00000106179		
ENSMUSG00000096231	SNORD116-1	ENSG00000207063
ENSMUSG00000096231	SNORD116-8	ENSG00000207093
ENSMUSG00000096231	SNORD116-7	ENSG00000207133
ENSMUSG00000096231	SNORD116-3	ENSG00000207014
ENSMUSG00000096231	SNORD116-2	ENSG00000207001
ENSMUSG00000096231	SNORD116-9	ENSG00000206727
ENSMUSG00000096231	SNORD116-5	ENSG00000207191
ENSMUSG00000096231	SNORD116-6	ENSG00000207442
ENSMUSG00000096231	SNORD116-4	ENSG00000275529
ENSMUSG00000099092		
ENSMUSG00000092802		
ENSMUSG00000089513	RNU6-229P	ENSG00000252423
ENSMUSG00000016541	ATXN10	ENSG00000130638
ENSMUSG00000088348		
ENSMUSG00000075517		
ENSMUSG00000064476		
ENSMUSG00000094895	RNU6-1051P	ENSG00000202341
ENSMUSG00000084602		
ENSMUSG00000096291		
ENSMUSG00000088639		
ENSMUSG00000091096		
ENSMUSG00000106580		
ENSMUSG00000022488	NCKAP1L	ENSG00000123338
ENSMUSG00000096758		
ENSMUSG00000098522		
ENSMUSG00000104755		
ENSMUSG00000036368	RMDN2	ENSG00000115841
ENSMUSG00000022002		
ENSMUSG00000088816	SCARNA3	ENSG00000252906
ENSMUSG00000089410		
ENSMUSG00000078655		
ENSMUSG00000064437	SNORD49B	ENSG00000277108
ENSMUSG00000036061	SMUG1	ENSG00000123415
ENSMUSG00000092934		
ENSMUSG00000089498		
ENSMUSG00000093298		
ENSMUSG00000088603		
ENSMUSG00000098247		
ENSMUSG00000076377		
ENSMUSG00000064880	SNORA63	ENSG00000200418
ENSMUSG00000098338		
ENSMUSG00000031233	PGK2	ENSG00000170950
ENSMUSG00000020561	TWISTNB	ENSG00000105849
ENSMUSG00000029490	MFSD7	ENSG00000169026
ENSMUSG00000096455		
ENSMUSG00000077744		
ENSMUSG00000096607		
ENSMUSG00000087960		
ENSMUSG00000035566	PCDH17	ENSG00000118946
ENSMUSG00000084745		
ENSMUSG00000104890		
ENSMUSG00000071650	GANAB	ENSG00000089597
ENSMUSG00000089359		
ENSMUSG00000072673		
ENSMUSG00000095020		
ENSMUSG00000005054	CSTB	ENSG00000160213
ENSMUSG00000088482		
ENSMUSG00000064706	Y_RNA	ENSG00000252607
ENSMUSG00000096408		
ENSMUSG00000045257	MORN2	ENSG00000188010
ENSMUSG00000093097		
ENSMUSG00000106046		
ENSMUSG00000098944		
ENSMUSG00000088786		
ENSMUSG00000088387	RNU1-103P	ENSG00000252311
ENSMUSG00000005148	KLF5	ENSG00000102554
ENSMUSG00000042364	SNX18	ENSG00000178996
ENSMUSG00000075906		
ENSMUSG00000005656	SNX6	ENSG00000129515
ENSMUSG00000024242	MAP4K3	ENSG00000011566
ENSMUSG00000021115	VRK1	ENSG00000100749
ENSMUSG00000077348		
ENSMUSG00000095282		
ENSMUSG00000089385		
ENSMUSG00000024487	YIPF5	ENSG00000145817
ENSMUSG00000095102	RNA5SP515	ENSG00000201440
ENSMUSG00000065072		
ENSMUSG00000089442		
ENSMUSG00000091396		
ENSMUSG00000095884		
ENSMUSG00000084734		
ENSMUSG00000094812		
ENSMUSG00000020990	CDKL1	ENSG00000100490
ENSMUSG00000041765	UBAC2	ENSG00000134882
ENSMUSG00000096953		
ENSMUSG00000064822		
ENSMUSG00000070136		
ENSMUSG00000089235	SCARNA17	ENSG00000251992
ENSMUSG00000089235	SCARNA17	ENSG00000274625
ENSMUSG00000089235	SCARNA17	ENSG00000252143
ENSMUSG00000089235	SCARNA17	ENSG00000252190
ENSMUSG00000089235	SCARNA17	ENSG00000252020
ENSMUSG00000087712		
ENSMUSG00000087794	RNA5SP108	ENSG00000271924
ENSMUSG00000095266	PRDX2	ENSG00000167815
ENSMUSG00000077796		
ENSMUSG00000098435	HOXA11-AS1_2	ENSG00000278334
ENSMUSG00000071867		
ENSMUSG00000022615	TYMP	ENSG00000025708
ENSMUSG00000094780		
ENSMUSG00000088279	RN7SKP260	ENSG00000252716
ENSMUSG00000045104		
ENSMUSG00000096390		
ENSMUSG00000025396	HSD17B6	ENSG00000025423
ENSMUSG00000098595		
ENSMUSG00000096808		
ENSMUSG00000088337	RNU6-635P	ENSG00000252460
ENSMUSG00000033618	MAP3K13	ENSG00000073803
ENSMUSG00000001229	DPP9	ENSG00000142002
ENSMUSG00000096913		
ENSMUSG00000088924	SNORA17	ENSG00000212589
ENSMUSG00000088924	SNORA17	ENSG00000212461
ENSMUSG00000088924	SNORA17	ENSG00000281808
ENSMUSG00000095817	KRTAP10-7	ENSG00000272804
ENSMUSG00000095817	KRTAP10-10	ENSG00000221859
ENSMUSG00000095817	KRTAP10-1	ENSG00000215455
ENSMUSG00000095817	KRTAP10-3	ENSG00000212935
ENSMUSG00000095817	KRTAP10-12	ENSG00000189169
ENSMUSG00000095817	KRTAP10-9	ENSG00000221837
ENSMUSG00000095817	KRTAP10-11	ENSG00000243489
ENSMUSG00000095817	KRTAP10-4	ENSG00000215454
ENSMUSG00000095817	KRTAP10-6	ENSG00000188155
ENSMUSG00000095817	KRTAP10-8	ENSG00000187766
ENSMUSG00000095817	KRTAP10-5	ENSG00000241123
ENSMUSG00000095817	KRTAP10-2	ENSG00000205445
ENSMUSG00000092752		
ENSMUSG00000064717	SNORD118	ENSG00000200463
ENSMUSG00000077081		
ENSMUSG00000040441	SLC26A10	ENSG00000135502
ENSMUSG00000015143	ACTN1	ENSG00000072110
ENSMUSG00000103862		
ENSMUSG00000089322		
ENSMUSG00000024068	SPAST	ENSG00000021574
ENSMUSG00000051067	LINGO3	ENSG00000220008
ENSMUSG00000088354		
ENSMUSG00000089018		
ENSMUSG00000097221		
ENSMUSG00000084601	RNU6-607P	ENSG00000223215
ENSMUSG00000096208		
ENSMUSG00000001227	SEMA6B	ENSG00000167680
ENSMUSG00000093996	FAM205A	ENSG00000205108
ENSMUSG00000098700		
ENSMUSG00000089363		
ENSMUSG00000098563		
ENSMUSG00000105200		
ENSMUSG00000089179		
ENSMUSG00000059606	RNASE3	ENSG00000169397
ENSMUSG00000059606	RNASE2	ENSG00000169385
ENSMUSG00000098628	uc_338	ENSG00000277826
ENSMUSG00000077962		
ENSMUSG00000025422	AGAP2	ENSG00000135439
ENSMUSG00000076128		
ENSMUSG00000089158	RN7SKP125	ENSG00000222413
ENSMUSG00000095596		
